Produto,Data,Volume Realizado (kg),Receita Realizada (R$),Custo Realizado (R$),Dia da Semana,Preço,Custo Realizado (R$/kg),Margem,Dia Numérico,Volume Tratado (kg),Cluster
Produto_A,2025-09-04,16.92409018776101,22219.391441,16284.7343886975,Quinta,1312.8854310330012,962.2221465396188,5934.6570523025,3,16.92409018776101,TerQuaQui
Produto_A,2025-09-05,3.386453767977198,4446.969149279999,3321.5453398512,Sexta,1313.1639921770643,980.8329206381668,1125.4238094287994,4,3.386453767977198,Fraco
Produto_A,2025-09-07,0.5880076691167521,763.642,565.8465779999999,Domingo,1298.693945858,962.3115610889218,197.79542200000014,6,0.5880076691167521,FimDeSemana
Produto_A,2025-09-08,36.66674168219051,47480.5790571,36116.621976897,Segunda,1294.9222341226437,984.996766004962,11363.957080203007,0,36.66674168219051,Pico
Produto_A,2025-09-09,21.65962331480343,28034.83780699,21311.881207551,Terça,1294.3363510772317,983.9451452041292,6722.956599439,1,21.65962331480343,TerQuaQui
Produto_A,2025-09-10,19.14181723983961,24821.16789368,18967.1941840392,Quarta,1296.6986144878676,990.877404500709,5853.973709640803,2,19.14181723983961,TerQuaQui
Produto_A,2025-09-11,28.67668232602363,37143.51231732,28563.5657880045,Quinta,1295.2513786301165,996.0554524148534,8579.946529315497,3,28.67668232602363,TerQuaQui
Produto_A,2025-09-12,5.982237678152265,7779.84818907,5920.6254773886,Sexta,1300.4913224164916,989.7008102856432,1859.2227116814001,4,5.982237678152265,Fraco
Produto_A,2025-09-15,26.0358597011563,33658.0868517499,25821.261612135,Segunda,1292.758804129486,991.7575954285938,7836.825239614896,0,26.0358597011563,Pico
Produto_A,2025-09-16,23.16611767241547,29956.65384747,22952.0527727931,Terça,1293.123615751128,990.7595695295436,7004.601074676899,1,23.16611767241547,TerQuaQui
Produto_A,2025-09-17,16.94614582087715,21965.40286344,16699.4585160084,Quarta,1296.1887083716272,985.44286662724,5265.944347431599,2,16.94614582087715,TerQuaQui
Produto_A,2025-09-18,18.04114706611702,23631.2189990099,17765.2551936717,Quinta,1309.8512479503902,984.7076313144483,5865.9638053382005,3,18.04114706611702,TerQuaQui
Produto_A,2025-09-19,7.671407309223985,9912.95915879,7632.025312229999,Sexta,1292.1956505778028,994.8663921225204,2280.9338465600003,4,7.671407309223985,Fraco
Produto_A,2025-09-22,20.12708823573591,26448.07420129,19397.2446344457,Segunda,1314.0536719231495,963.7382420774424,7050.8295668443025,0,20.12708823573591,Pico
Produto_A,2025-09-23,15.93821782038493,20729.6697076,15521.7629619161,Terça,1300.626578279462,973.8706759336552,5207.906745683898,1,15.93821782038493,TerQuaQui
Produto_A,2025-09-24,15.36805083850161,19917.48641556,15030.530965494,Quarta,1296.0320488829125,978.0375613957484,4886.9554500660015,2,15.36805083850161,TerQuaQui
Produto_A,2025-09-25,12.79168989074229,16686.18604272,12523.2438653982,Quinta,1304.455172478522,979.0140296053949,4162.9421773218,3,12.79168989074229,TerQuaQui
Produto_A,2025-09-26,2.449797642506198,3205.74318163,2394.53824203,Sexta,1308.5746863363183,977.4432795928132,811.2049395999998,4,2.449797642506198,Fraco
Produto_A,2025-09-27,2.004571599261655,2574.485,1966.637475,Sábado,1284.3068319177337,981.076193898174,607.8475250000001,5,2.004571599261655,FimDeSemana
Produto_A,2025-09-28,1.336381066174436,1698.46999999999,1316.70495,Domingo,1270.947368973193,985.2765676853224,381.76504999998997,6,1.336381066174436,FimDeSemana
Produto_A,2025-09-29,22.37551997919094,29080.62675733,21912.7808278566,Segunda,1299.662612729213,979.3194012132597,7167.845929473398,0,22.37551997919094,Pico
Produto_A,2025-09-30,7.396131518926977,9540.10626682,7250.421563292601,Terça,1289.877856066582,980.2991664951468,2289.6847035273986,1,7.396131518926977,TerQuaQui
Produto_A,2025-10-01,13.60840848828627,17204.7303304,13264.2108525366,Quarta,1264.272037777918,974.7069882531858,3940.5194778634013,2,13.60840848828627,TerQuaQui
Produto_A,2025-10-02,27.35716906166645,34040.84205454,26645.292123219,Quinta,1244.31157250985,973.9784135981764,7395.549931321002,3,27.35716906166645,TerQuaQui
Produto_A,2025-10-03,5.873095436477825,7200.46028419999,5710.64742697679,Sexta,1226.007709576435,972.3403082313172,1489.8128572232008,4,5.873095436477825,Fraco
Produto_A,2025-10-05,2.084754463232121,2597.3922,2054.059722,Domingo,1245.8983759522,985.276567685322,543.3324779999998,6,2.084754463232121,FimDeSemana
Produto_A,2025-10-06,34.47653071626443,43260.2445529,33909.502396869,Segunda,1254.773715746632,983.5532082951744,9350.742156031003,0,34.47653071626443,Pico
Produto_A,2025-10-07,58.38654490916591,72294.10132258,57497.93050349699,Terça,1238.1979689849877,984.7804933987552,14796.17081908301,1,33.366912134922735,TerQuaQui
Produto_A,2025-10-08,55.22333359829316,66786.18074746,54389.62028334779,Quarta,1209.3833601802742,984.902879623132,12396.560464112219,2,46.94184026835815,TerQuaQui
Produto_A,2025-10-09,67.68334974498374,82157.95945643,66657.73221742139,Quinta,1213.857762152486,984.8468267095724,15500.227239008615,3,65.74951680469789,TerQuaQui
Produto_A,2025-10-10,17.93610484155355,21673.422122,17581.07868363,Sexta,1208.368389539517,980.2060614018578,4092.3434383700005,4,13.886976787435064,Fraco
Produto_A,2025-10-11,0.5880076691167521,699.061,575.170596,Sábado,1188.863745689,978.168527740404,123.89040399999999,5,0.5880076691167521,FimDeSemana
Produto_A,2025-10-13,69.35364165711466,84643.9742194099,68307.2618372694,Segunda,1220.4690654586077,984.9124026533664,16336.712382140497,0,54.01799271394351,Pico
Produto_A,2025-10-14,50.50365796898195,61100.916958,49755.58102746,Terça,1209.8315135019848,985.1876681490796,11345.33593054,1,33.366912134922735,TerQuaQui
Produto_A,2025-10-15,100.0,120163.16634282,98592.1023042054,Quarta,1201.6316634282,985.921023042054,21571.064038614597,2,46.94184026835815,TerQuaQui
Produto_A,2025-10-16,65.26434499500434,78890.14730884,64274.2060809024,Quinta,1208.7786572420002,984.8287925945212,14615.941227937597,3,65.26434499500434,TerQuaQui
Produto_A,2025-10-17,7.799523489275995,9717.66308668,7680.528460340999,Sexta,1245.9303571610965,984.743295010444,2037.1346263390014,4,7.799523489275995,Fraco
Produto_A,2025-10-18,2.549109465057885,3187.1767302,2511.5683824,Sábado,1250.30987248232,985.2728636519996,675.6083478,5,2.549109465057885,FimDeSemana
Produto_A,2025-10-19,0.5880076691167521,725.346599999999,575.170596,Domingo,1233.5665640033983,978.168527740404,150.1760039999989,6,0.5880076691167521,FimDeSemana
Produto_A,2025-10-20,31.31326327738663,38804.02356561,32263.4105374086,Segunda,1239.220046210672,1030.3432846204864,6540.613028201398,0,31.31326327738663,Pico
Produto_A,2025-10-21,26.53177467824086,33686.3116585,25957.83561624,Terça,1269.659194193545,978.36786008621,7728.476042260001,1,26.53177467824086,TerQuaQui
Produto_A,2025-10-22,16.16584628014855,21483.01884035,16049.295574488,Quarta,1328.91396268755,992.7903121407462,5433.723265862,2,16.16584628014855,TerQuaQui
Produto_A,2025-10-23,2.82428101763173,3797.61648385,2791.267470486,Quinta,1344.6312389389814,988.310813640842,1006.3490133639998,3,2.82428101763173,TerQuaQui
Produto_A,2025-10-24,1.844205871320722,2518.24699999999,1820.905515,Sexta,1365.4912605806614,987.3656424789302,697.3414849999899,4,1.844205871320722,Fraco
Produto_A,2025-10-26,0.6147352904402408,832.4666000000001,617.1785729999999,Domingo,1354.1870996276002,1003.974527894778,215.28802700000017,6,0.6147352904402408,FimDeSemana
Produto_A,2025-10-27,12.19328250416855,16490.47758745,12062.1460690764,Segunda,1352.4231544551155,989.2451901243722,4428.331518373601,0,12.19328250416855,Pico
Produto_A,2025-10-28,16.47655487803411,21926.451819,16631.9168946183,Terça,1330.7667762653148,1009.4292780095255,5294.5349243817,1,16.47655487803411,TerQuaQui
Produto_A,2025-10-29,19.46302177461891,26134.9556072399,19608.3221138244,Quarta,1342.8005121651584,1007.465456334996,6526.633493415498,2,19.46302177461891,TerQuaQui
Produto_A,2025-10-30,8.468614743201815,11357.92980136,8535.811692592799,Quinta,1341.1791828737496,1007.9348218603196,2822.118108767201,3,8.468614743201815,TerQuaQui
Produto_A,2025-10-31,8.14696118438429,10745.18674111,8232.07116996,Sexta,1318.919594425694,1010.4468382320078,2513.1155711499996,4,8.14696118438429,Fraco
