Produto,Data,Volume Realizado (kg),Receita Realizada (R$),Custo Realizado (R$),Dia da Semana,Preço,Custo Realizado (R$/kg)
Produto_A,2025-08-25,25.09924099435518,32308.0729021,24270.03076014,Segunda,1287.2131435913175,966.9627366659546
Produto_A,2025-08-26,16.43583267418564,20964.72996177,15943.4822191194,Terça,1275.5502186814979,970.0440820476632
Produto_A,2025-08-27,22.62057484805748,28655.7025635,21950.101536066,Quarta,1266.7981585782193,970.3600232754891
Produto_A,2025-08-28,44.61417850063283,55320.4351811,43395.3391507416,Quinta,1239.974309519457,972.6804484391897
Produto_A,2025-08-29,15.45849978182243,19061.14918549,15070.0163207121,Sexta,1233.05297761843,974.8692650261479
Produto_A,2025-08-30,3.683726390623438,4769.64443559,3569.2162971399,Sábado,1294.7879212013843,968.9146040338359
Produto_A,2025-09-01,49.1776204922597,60921.80515538,47907.0906880104,Segunda,1238.8115680580515,974.164471734673
Produto_A,2025-09-02,22.01119310016833,28345.34175428,21451.7758041873,Terça,1287.7694373624495,974.5848717316121
Produto_A,2025-09-03,32.89363010757494,43187.66307734,31890.2677101459,Quarta,1312.9491313697995,969.4967568447855
Produto_A,2025-09-04,16.92409018776101,22219.391441,16284.7343886975,Quinta,1312.8854310330012,962.2221465396188
Produto_A,2025-09-05,3.386453767977198,4446.969149279999,3321.5453398512,Sexta,1313.1639921770643,980.8329206381667
Produto_A,2025-09-07,0.5880076691167521,763.642,565.8465779999999,Domingo,1298.693945858,962.3115610889218
Produto_A,2025-09-08,36.66674168219051,47480.5790571,36116.621976897,Segunda,1294.9222341226437,984.9967660049621
Produto_A,2025-09-09,21.65962331480343,28034.83780699,21311.881207551,Terça,1294.3363510772315,983.9451452041291
Produto_A,2025-09-10,19.14181723983961,24821.16789368,18967.1941840392,Quarta,1296.6986144878676,990.877404500709
Produto_A,2025-09-11,28.67668232602363,37143.51231732,28563.5657880045,Quinta,1295.2513786301163,996.0554524148534
Produto_A,2025-09-12,5.982237678152265,7779.84818907,5920.6254773886,Sexta,1300.4913224164916,989.7008102856431
Produto_A,2025-09-15,26.0358597011563,33658.0868517499,25821.261612135,Segunda,1292.758804129486,991.7575954285938
Produto_A,2025-09-16,23.16611767241547,29956.65384747,22952.0527727931,Terça,1293.123615751128,990.7595695295435
Produto_A,2025-09-17,16.94614582087715,21965.40286344,16699.4585160084,Quarta,1296.1887083716272,985.4428666272399
Produto_A,2025-09-18,18.04114706611702,23631.2189990099,17765.2551936717,Quinta,1309.8512479503902,984.7076313144483
Produto_A,2025-09-19,7.671407309223985,9912.95915879,7632.025312229999,Sexta,1292.1956505778028,994.8663921225204
Produto_A,2025-09-22,20.12708823573591,26448.07420129,19397.2446344457,Segunda,1314.0536719231495,963.7382420774424
Produto_A,2025-09-23,15.93821782038493,20729.6697076,15521.7629619161,Terça,1300.6265782794621,973.8706759336552
Produto_A,2025-09-24,15.36805083850161,19917.48641556,15030.530965494,Quarta,1296.0320488829125,978.0375613957483
Produto_A,2025-09-25,12.79168989074229,16686.18604272,12523.2438653982,Quinta,1304.455172478522,979.0140296053947
Produto_A,2025-09-26,2.449797642506198,3205.74318163,2394.53824203,Sexta,1308.5746863363183,977.4432795928133
Produto_A,2025-09-27,2.004571599261655,2574.485,1966.637475,Sábado,1284.3068319177335,981.076193898174
Produto_A,2025-09-28,1.336381066174436,1698.46999999999,1316.70495,Domingo,1270.947368973193,985.2765676853224
Produto_A,2025-09-29,22.37551997919094,29080.62675733,21912.7808278566,Segunda,1299.662612729213,979.3194012132597
Produto_A,2025-09-30,7.396131518926977,9540.106266820001,7250.421563292601,Terça,1289.877856066582,980.2991664951469
Produto_A,2025-10-01,13.60840848828627,17204.7303304,13264.2108525366,Quarta,1264.272037777918,974.7069882531858
Produto_A,2025-10-02,27.35716906166645,34040.84205454,26645.292123219,Quinta,1244.31157250985,973.9784135981763
Produto_A,2025-10-03,5.873095436477825,7200.46028419999,5710.64742697679,Sexta,1226.007709576435,972.3403082313171
Produto_A,2025-10-05,2.084754463232121,2597.3922,2054.059722,Domingo,1245.8983759522,985.276567685322
Produto_A,2025-10-06,34.47653071626443,43260.2445529,33909.502396869,Segunda,1254.773715746632,983.5532082951743
Produto_A,2025-10-07,58.38654490916591,72294.10132258,57497.93050349699,Terça,1238.1979689849875,984.7804933987552
Produto_A,2025-10-08,55.22333359829316,66786.18074746,54389.62028334779,Quarta,1209.3833601802742,984.902879623132
Produto_A,2025-10-09,67.68334974498374,82157.95945643,66657.73221742139,Quinta,1213.857762152486,984.8468267095725
Produto_A,2025-10-10,17.93610484155355,21673.422122,17581.07868363,Sexta,1208.368389539517,980.2060614018578
Produto_A,2025-10-11,0.5880076691167521,699.061,575.170596,Sábado,1188.863745689,978.1685277404041
Produto_A,2025-10-13,69.35364165711466,84643.9742194099,68307.2618372694,Segunda,1220.4690654586077,984.9124026533663
Produto_A,2025-10-14,50.50365796898195,61100.916958,49755.58102746,Terça,1209.8315135019848,985.1876681490795
Produto_A,2025-10-15,100.0,120163.16634282,98592.1023042054,Quarta,1201.6316634282,985.921023042054
Produto_A,2025-10-16,65.26434499500434,78890.14730884,64274.2060809024,Quinta,1208.7786572420002,984.8287925945211
Produto_A,2025-10-17,7.799523489275995,9717.66308668,7680.528460340999,Sexta,1245.9303571610965,984.7432950104441
Produto_A,2025-10-18,2.549109465057885,3187.1767302,2511.5683824,Sábado,1250.30987248232,985.2728636519997
Produto_A,2025-10-19,0.5880076691167521,725.346599999999,575.170596,Domingo,1233.5665640033983,978.1685277404041
Produto_A,2025-10-20,31.31326327738663,38804.02356561,32263.4105374086,Segunda,1239.220046210672,1030.3432846204864
Produto_A,2025-10-21,26.53177467824086,33686.3116585,25957.83561624,Terça,1269.6591941935453,978.3678600862099
Produto_A,2025-10-22,16.16584628014855,21483.01884035,16049.295574488,Quarta,1328.91396268755,992.7903121407462
Produto_A,2025-10-23,2.82428101763173,3797.61648385,2791.267470486,Quinta,1344.6312389389814,988.310813640842
Produto_A,2025-10-24,1.844205871320722,2518.24699999999,1820.905515,Sexta,1365.4912605806614,987.3656424789302
Produto_A,2025-10-26,0.6147352904402408,832.4666000000001,617.1785729999999,Domingo,1354.1870996276002,1003.9745278947779
Produto_A,2025-10-27,12.19328250416855,16490.47758745,12062.1460690764,Segunda,1352.4231544551155,989.2451901243722
Produto_A,2025-10-28,16.47655487803411,21926.451819,16631.9168946183,Terça,1330.7667762653148,1009.4292780095257
Produto_A,2025-10-29,19.46302177461891,26134.9556072399,19608.3221138244,Quarta,1342.8005121651584,1007.4654563349959
Produto_A,2025-10-30,8.468614743201815,11357.92980136,8535.811692592799,Quinta,1341.1791828737496,1007.9348218603197
Produto_A,2025-10-31,8.14696118438429,10745.18674111,8232.07116996,Sexta,1318.919594425694,1010.4468382320078
